L1,Subject,Region,Word,Time,Sentence,Case,Order,Reflexive,Predicate,Binding
Japanese,10,3,??????,445,49,R,35,Simple S1,Simple,FALSE
Japanese,10,4,???,355,49,R,35,Simple S1,Simple,FALSE
Japanese,10,5,?,256,49,R,35,Simple S1,Simple,FALSE
Japanese,10,6,TF,1009,49,R,35,Simple S1,Simple,FALSE
Japanese,17,1,???,569,49,R,18,Simple S1,Simple,FALSE
Japanese,17,2,???,837,49,R,18,Simple S1,Simple,FALSE
Japanese,17,3,??????,899,49,R,18,Simple S1,Simple,FALSE
Japanese,17,4,???,551,49,R,18,Simple S1,Simple,FALSE
Japanese,17,5,?,551,49,R,18,Simple S1,Simple,FALSE
Japanese,17,6,TF,1498,49,R,18,Simple S1,Simple,FALSE
Japanese,18,1,???,371,49,R,49,Simple S1,Simple,FALSE
Japanese,18,2,???,404,49,R,49,Simple S1,Simple,FALSE
Japanese,18,3,??????,403,49,R,49,Simple S1,Simple,FALSE
Japanese,18,4,???,364,49,R,49,Simple S1,Simple,FALSE
Japanese,18,5,?,275,49,R,49,Simple S1,Simple,FALSE
Japanese,18,6,TF,849,49,R,49,Simple S1,Simple,FALSE
Japanese,19,1,???,105,49,R,52,Simple S1,Simple,FALSE
Japanese,19,2,???,227,49,R,52,Simple S1,Simple,FALSE
Japanese,19,3,??????,207,49,R,52,Simple S1,Simple,FALSE
Japanese,19,4,???,167,49,R,52,Simple S1,Simple,FALSE
Japanese,19,5,?,367,49,R,52,Simple S1,Simple,FALSE
Japanese,19,6,TF,335,49,R,52,Simple S1,Simple,FALSE
Japanese,20,1,???,205,49,R,22,Simple S1,Simple,FALSE
Japanese,20,2,???,187,49,R,22,Simple S1,Simple,FALSE
Japanese,20,3,??????,217,49,R,22,Simple S1,Simple,FALSE
Japanese,20,4,???,207,49,R,22,Simple S1,Simple,FALSE
Japanese,20,5,?,397,49,R,22,Simple S1,Simple,FALSE
Japanese,20,6,TF,795,49,R,22,Simple S1,Simple,FALSE
Japanese,21,1,???,454,49,R,3,Simple S1,Simple,FALSE
Japanese,21,2,???,457,49,R,3,Simple S1,Simple,FALSE
Japanese,21,3,??????,586,49,R,3,Simple S1,Simple,FALSE
Japanese,21,4,???,357,49,R,3,Simple S1,Simple,FALSE
Japanese,21,5,?,617,49,R,3,Simple S1,Simple,FALSE
Japanese,21,6,TF,335,49,R,3,Simple S1,Simple,FALSE
Japanese,11,1,???,491,49,R,50,Simple S1,Simple,FALSE
Japanese,11,2,???,296,49,R,50,Simple S1,Simple,FALSE
Japanese,11,3,??????,295,49,R,50,Simple S1,Simple,FALSE
Japanese,11,4,???,418,49,R,50,Simple S1,Simple,FALSE
Japanese,11,5,?,323,49,R,50,Simple S1,Simple,FALSE
Japanese,11,6,TF,1008,49,R,50,Simple S1,Simple,FALSE
Japanese,12,1,???,411,49,R,7,Simple S1,Simple,FALSE
Japanese,12,2,???,364,49,R,7,Simple S1,Simple,FALSE
Japanese,12,3,??????,324,49,R,7,Simple S1,Simple,FALSE
Japanese,12,4,???,324,49,R,7,Simple S1,Simple,FALSE
Japanese,12,5,?,325,49,R,7,Simple S1,Simple,FALSE
Japanese,12,6,TF,946,49,R,7,Simple S1,Simple,FALSE
Japanese,13,1,???,324,49,R,35,Simple S1,Simple,FALSE
Japanese,13,2,???,346,49,R,35,Simple S1,Simple,FALSE
Japanese,13,3,??????,674,49,R,35,Simple S1,Simple,FALSE
Japanese,13,4,???,386,49,R,35,Simple S1,Simple,FALSE
Japanese,13,5,?,386,49,R,35,Simple S1,Simple,FALSE
Japanese,13,6,TF,335,49,R,35,Simple S1,Simple,FALSE
Japanese,14,1,???,653,49,R,1,Simple S1,Simple,FALSE
Japanese,14,2,???,526,49,R,1,Simple S1,Simple,FALSE
Japanese,14,3,??????,675,49,R,1,Simple S1,Simple,FALSE
Japanese,14,4,???,426,49,R,1,Simple S1,Simple,FALSE
Japanese,14,5,?,466,49,R,1,Simple S1,Simple,FALSE
Japanese,14,6,TF,1182,49,R,1,Simple S1,Simple,FALSE
Japanese,15,1,???,546,49,R,45,Simple S1,Simple,FALSE
Japanese,15,2,???,428,49,R,45,Simple S1,Simple,FALSE
Japanese,15,3,??????,689,49,R,45,Simple S1,Simple,FALSE
Japanese,15,4,???,467,49,R,45,Simple S1,Simple,FALSE
Japanese,15,5,?,659,49,R,45,Simple S1,Simple,FALSE
Japanese,15,6,TF,847,49,R,45,Simple S1,Simple,FALSE
Japanese,16,1,???,500,49,R,3,Simple S1,Simple,FALSE
Japanese,16,2,???,373,49,R,3,Simple S1,Simple,FALSE
Japanese,16,3,??????,511,49,R,3,Simple S1,Simple,FALSE
Japanese,16,4,???,402,49,R,3,Simple S1,Simple,FALSE
Japanese,16,5,?,413,49,R,3,Simple S1,Simple,FALSE
Japanese,16,6,TF,815,49,R,3,Simple S1,Simple,FALSE
Japanese,1,1,???,444,51,R,14,Simple S2,Simple,TRUE
Japanese,1,2,???,409,51,R,14,Simple S2,Simple,TRUE
Japanese,1,3,??,399,51,R,14,Simple S2,Simple,TRUE
Japanese,1,4,???,449,51,R,14,Simple S2,Simple,TRUE
Japanese,1,5,?,850,51,R,14,Simple S2,Simple,TRUE
Japanese,1,6,TF,383,51,R,14,Simple S2,Simple,TRUE
Japanese,2,1,???,506,51,R,33,Simple S2,Simple,TRUE
Japanese,2,2,???,358,51,R,33,Simple S2,Simple,TRUE
Japanese,2,3,??,398,51,R,33,Simple S2,Simple,TRUE
Japanese,2,4,???,348,51,R,33,Simple S2,Simple,TRUE
Japanese,2,5,?,268,51,R,33,Simple S2,Simple,TRUE
Japanese,2,6,TF,1498,51,R,33,Simple S2,Simple,TRUE
Japanese,3,1,???,592,51,R,56,Simple S2,Simple,TRUE
Japanese,3,2,???,356,51,R,56,Simple S2,Simple,TRUE
Japanese,3,3,??,733,51,R,56,Simple S2,Simple,TRUE
Japanese,3,4,???,525,51,R,56,Simple S2,Simple,TRUE
Japanese,3,5,?,227,51,R,56,Simple S2,Simple,TRUE
Japanese,3,6,TF,980,51,R,56,Simple S2,Simple,TRUE
Japanese,4,1,???,948,51,R,12,Simple S2,Simple,TRUE
Japanese,4,2,???,712,51,R,12,Simple S2,Simple,TRUE
Japanese,4,3,??,424,51,R,12,Simple S2,Simple,TRUE
Japanese,4,4,???,424,51,R,12,Simple S2,Simple,TRUE
Japanese,4,5,?,424,51,R,12,Simple S2,Simple,TRUE
Japanese,4,6,TF,700,51,R,12,Simple S2,Simple,TRUE
Japanese,5,1,???,493,51,R,53,Simple S2,Simple,TRUE
Japanese,5,2,???,535,51,R,53,Simple S2,Simple,TRUE
Japanese,5,3,??,425,51,R,53,Simple S2,Simple,TRUE
Japanese,5,4,???,375,51,R,53,Simple S2,Simple,TRUE
Japanese,5,5,?,167,51,R,53,Simple S2,Simple,TRUE
Japanese,5,6,TF,861,51,R,53,Simple S2,Simple,TRUE
Japanese,6,1,???,496,51,R,47,Simple S2,Simple,TRUE
Japanese,6,2,???,478,51,R,47,Simple S2,Simple,TRUE
Japanese,6,3,??,598,51,R,47,Simple S2,Simple,TRUE
Japanese,6,4,???,388,51,R,47,Simple S2,Simple,TRUE
Japanese,6,5,?,368,51,R,47,Simple S2,Simple,TRUE
Japanese,6,6,TF,786,51,R,47,Simple S2,Simple,TRUE
Japanese,7,1,???,453,51,R,27,Simple S2,Simple,TRUE
Japanese,7,2,???,415,51,R,27,Simple S2,Simple,TRUE
Japanese,7,3,??,326,51,R,27,Simple S2,Simple,TRUE
Japanese,7,4,???,296,51,R,27,Simple S2,Simple,TRUE
Japanese,7,5,?,276,51,R,27,Simple S2,Simple,TRUE
Japanese,7,6,TF,335,51,R,27,Simple S2,Simple,TRUE
Japanese,8,1,???,415,51,R,16,Simple S2,Simple,TRUE
Japanese,8,2,???,476,51,R,16,Simple S2,Simple,TRUE
Japanese,8,3,??,427,51,R,16,Simple S2,Simple,TRUE
Japanese,8,4,???,526,51,R,16,Simple S2,Simple,TRUE
Japanese,8,5,?,289,51,R,16,Simple S2,Simple,TRUE
Japanese,8,6,TF,951,51,R,16,Simple S2,Simple,TRUE
Japanese,9,1,???,436,51,R,25,Simple S2,Simple,TRUE
Japanese,9,2,???,398,51,R,25,Simple S2,Simple,TRUE
Japanese,9,3,??,388,51,R,25,Simple S2,Simple,TRUE
Japanese,9,4,???,338,51,R,25,Simple S2,Simple,TRUE
Japanese,9,5,?,338,51,R,25,Simple S2,Simple,TRUE
Japanese,9,6,TF,797,51,R,25,Simple S2,Simple,TRUE
Japanese,10,1,???,434,51,R,59,Simple S2,Simple,TRUE
Japanese,10,2,???,286,51,R,59,Simple S2,Simple,TRUE
Japanese,10,3,??,326,51,R,59,Simple S2,Simple,TRUE
Japanese,10,4,???,306,51,R,59,Simple S2,Simple,TRUE
Japanese,10,5,?,266,51,R,59,Simple S2,Simple,TRUE
Japanese,10,6,TF,1319,51,R,59,Simple S2,Simple,TRUE
Japanese,17,1,???,820,51,R,60,Simple S2,Simple,TRUE
Japanese,17,2,???,673,51,R,60,Simple S2,Simple,TRUE
Japanese,17,3,??,474,51,R,60,Simple S2,Simple,TRUE
Japanese,17,4,???,712,51,R,60,Simple S2,Simple,TRUE
Japanese,17,5,?,991,51,R,60,Simple S2,Simple,TRUE
Japanese,17,6,TF,2059,51,R,60,Simple S2,Simple,TRUE
Japanese,18,1,???,530,51,R,2,Simple S2,Simple,TRUE
Japanese,18,2,???,618,51,R,2,Simple S2,Simple,TRUE
Japanese,18,3,??,440,51,R,2,Simple S2,Simple,TRUE
Japanese,18,4,???,619,51,R,2,Simple S2,Simple,TRUE
Japanese,18,5,?,1684,51,R,2,Simple S2,Simple,TRUE
Japanese,18,6,TF,1251,51,R,2,Simple S2,Simple,TRUE
Japanese,19,1,???,663,51,R,23,Simple S2,Simple,TRUE
Japanese,19,2,???,465,51,R,23,Simple S2,Simple,TRUE
Japanese,19,3,??,804,51,R,23,Simple S2,Simple,TRUE
Japanese,19,4,???,386,51,R,23,Simple S2,Simple,TRUE
Japanese,19,5,?,475,51,R,23,Simple S2,Simple,TRUE
Japanese,19,6,TF,444,51,R,23,Simple S2,Simple,TRUE
Japanese,20,1,???,295,51,R,29,Simple S2,Simple,TRUE
Japanese,20,2,???,328,51,R,29,Simple S2,Simple,TRUE
Japanese,20,3,??,367,51,R,29,Simple S2,Simple,TRUE
Japanese,20,4,???,337,51,R,29,Simple S2,Simple,TRUE
Japanese,20,5,?,288,51,R,29,Simple S2,Simple,TRUE
Japanese,20,6,TF,625,51,R,29,Simple S2,Simple,TRUE
Japanese,21,1,???,378,51,R,45,Simple S2,Simple,TRUE
Japanese,21,2,???,518,51,R,45,Simple S2,Simple,TRUE
Japanese,21,3,??,348,51,R,45,Simple S2,Simple,TRUE
Japanese,21,4,???,329,51,R,45,Simple S2,Simple,TRUE
Japanese,21,5,?,358,51,R,45,Simple S2,Simple,TRUE
Japanese,21,6,TF,488,51,R,45,Simple S2,Simple,TRUE
Japanese,11,1,???,512,51,R,46,Simple S2,Simple,TRUE
Japanese,11,2,???,752,51,R,46,Simple S2,Simple,TRUE
Japanese,11,3,??,553,51,R,46,Simple S2,Simple,TRUE
Japanese,11,4,???,494,51,R,46,Simple S2,Simple,TRUE
Japanese,11,5,?,375,51,R,46,Simple S2,Simple,TRUE
Japanese,11,6,TF,1098,51,R,46,Simple S2,Simple,TRUE
Japanese,12,1,???,363,51,R,37,Simple S2,Simple,TRUE
Japanese,12,2,???,464,51,R,37,Simple S2,Simple,TRUE
Japanese,12,3,??,365,51,R,37,Simple S2,Simple,TRUE
Japanese,12,4,???,424,51,R,37,Simple S2,Simple,TRUE
Japanese,12,5,?,335,51,R,37,Simple S2,Simple,TRUE
Japanese,12,6,TF,1097,51,R,37,Simple S2,Simple,TRUE
Japanese,13,1,???,464,51,R,58,Simple S2,Simple,TRUE
Japanese,13,2,???,397,51,R,58,Simple S2,Simple,TRUE
Japanese,13,3,??,376,51,R,58,Simple S2,Simple,TRUE
Japanese,13,4,???,1762,51,R,58,Simple S2,Simple,TRUE
Japanese,13,5,?,377,51,R,58,Simple S2,Simple,TRUE
Japanese,13,6,TF,485,51,R,58,Simple S2,Simple,TRUE
Japanese,14,1,???,969,51,R,28,Simple S2,Simple,TRUE
Japanese,14,2,???,932,51,R,28,Simple S2,Simple,TRUE
Japanese,14,3,??,574,51,R,28,Simple S2,Simple,TRUE
Japanese,14,4,???,951,51,R,28,Simple S2,Simple,TRUE
Japanese,14,5,?,802,51,R,28,Simple S2,Simple,TRUE
Japanese,14,6,TF,22019,51,R,28,Simple S2,Simple,TRUE
Japanese,15,1,???,486,51,R,55,Simple S2,Simple,TRUE
Japanese,15,2,???,729,51,R,55,Simple S2,Simple,TRUE
Japanese,15,3,??,539,51,R,55,Simple S2,Simple,TRUE
Japanese,15,4,???,469,51,R,55,Simple S2,Simple,TRUE
Japanese,15,5,?,228,51,R,55,Simple S2,Simple,TRUE
Japanese,15,6,TF,818,51,R,55,Simple S2,Simple,TRUE
Japanese,16,1,???,401,51,R,15,Simple S2,Simple,TRUE
Japanese,16,2,???,393,51,R,15,Simple S2,Simple,TRUE
Japanese,16,3,??,383,51,R,15,Simple S2,Simple,TRUE
Japanese,16,4,???,393,51,R,15,Simple S2,Simple,TRUE
Japanese,16,5,?,383,51,R,15,Simple S2,Simple,TRUE
Japanese,16,6,TF,1815,51,R,15,Simple S2,Simple,TRUE
Japanese,1,1,???,455,53,R,15,Simple O1,Simple,FALSE
Japanese,1,2,???,559,53,R,15,Simple O1,Simple,FALSE
Japanese,1,3,???,399,53,R,15,Simple O1,Simple,FALSE
Japanese,1,4,?,419,53,R,15,Simple O1,Simple,FALSE
Japanese,1,5,TF,754,53,R,15,Simple O1,Simple,FALSE
Japanese,2,1,???,446,53,R,32,Simple O1,Simple,FALSE
Japanese,2,2,???,638,53,R,32,Simple O1,Simple,FALSE
Japanese,2,3,???,258,53,R,32,Simple O1,Simple,FALSE
Japanese,2,4,?,168,53,R,32,Simple O1,Simple,FALSE
Japanese,2,5,TF,1539,53,R,32,Simple O1,Simple,FALSE
Japanese,3,1,???,662,53,R,52,Simple O1,Simple,FALSE
Japanese,3,2,???,346,53,R,52,Simple O1,Simple,FALSE
Japanese,3,3,???,246,53,R,52,Simple O1,Simple,FALSE
Japanese,3,4,?,216,53,R,52,Simple O1,Simple,FALSE
Japanese,3,5,TF,1319,53,R,52,Simple O1,Simple,FALSE
Japanese,4,1,???,472,53,R,18,Simple O1,Simple,FALSE
Japanese,4,2,???,414,53,R,18,Simple O1,Simple,FALSE
Japanese,4,3,???,335,53,R,18,Simple O1,Simple,FALSE
Japanese,4,4,?,474,53,R,18,Simple O1,Simple,FALSE
Japanese,4,5,TF,810,53,R,18,Simple O1,Simple,FALSE
Japanese,5,1,???,661,53,R,35,Simple O1,Simple,FALSE
Japanese,5,2,???,614,53,R,35,Simple O1,Simple,FALSE
Japanese,5,3,???,445,53,R,35,Simple O1,Simple,FALSE
Japanese,5,4,?,246,53,R,35,Simple O1,Simple,FALSE
Japanese,5,5,TF,1049,53,R,35,Simple O1,Simple,FALSE
Japanese,6,1,???,645,53,R,19,Simple O1,Simple,FALSE
Japanese,6,2,???,468,53,R,19,Simple O1,Simple,FALSE
Japanese,6,3,???,538,53,R,19,Simple O1,Simple,FALSE
Japanese,6,4,?,817,53,R,19,Simple O1,Simple,FALSE
Japanese,6,5,TF,4202,53,R,19,Simple O1,Simple,FALSE
Japanese,7,1,???,404,53,R,5,Simple O1,Simple,FALSE
Japanese,7,2,???,345,53,R,5,Simple O1,Simple,FALSE
Japanese,7,3,???,326,53,R,5,Simple O1,Simple,FALSE
Japanese,7,4,?,326,53,R,5,Simple O1,Simple,FALSE
Japanese,7,5,TF,434,53,R,5,Simple O1,Simple,FALSE
Japanese,8,1,???,375,53,R,50,Simple O1,Simple,FALSE
Japanese,8,2,???,438,53,R,50,Simple O1,Simple,FALSE
Japanese,8,3,???,297,53,R,50,Simple O1,Simple,FALSE
Japanese,8,4,?,207,53,R,50,Simple O1,Simple,FALSE
Japanese,8,5,TF,935,53,R,50,Simple O1,Simple,FALSE
Japanese,9,1,???,407,53,R,44,Simple O1,Simple,FALSE
Japanese,9,2,???,449,53,R,44,Simple O1,Simple,FALSE
Japanese,9,3,???,358,53,R,44,Simple O1,Simple,FALSE
Japanese,9,4,?,359,53,R,44,Simple O1,Simple,FALSE
Japanese,9,5,TF,317,53,R,44,Simple O1,Simple,FALSE
Japanese,10,1,???,427,53,R,15,Simple O1,Simple,FALSE
Japanese,10,2,???,429,53,R,15,Simple O1,Simple,FALSE
Japanese,10,3,???,318,53,R,15,Simple O1,Simple,FALSE
Japanese,10,4,?,339,53,R,15,Simple O1,Simple,FALSE
Japanese,10,5,TF,607,53,R,15,Simple O1,Simple,FALSE
Japanese,17,1,???,557,53,R,7,Simple O1,Simple,FALSE
Japanese,17,2,???,787,53,R,7,Simple O1,Simple,FALSE
Japanese,17,3,???,817,53,R,7,Simple O1,Simple,FALSE
Japanese,17,4,?,434,53,R,7,Simple O1,Simple,FALSE
Japanese,17,5,TF,2180,53,R,7,Simple O1,Simple,FALSE
Japanese,18,1,???,334,53,R,53,Simple O1,Simple,FALSE
Japanese,18,2,???,324,53,R,53,Simple O1,Simple,FALSE
Japanese,18,3,???,347,53,R,53,Simple O1,Simple,FALSE
Japanese,18,4,?,252,53,R,53,Simple O1,Simple,FALSE
Japanese,18,5,TF,670,53,R,53,Simple O1,Simple,FALSE
Japanese,19,1,???,365,53,R,60,Simple O1,Simple,FALSE
Japanese,19,2,???,267,53,R,60,Simple O1,Simple,FALSE
Japanese,19,3,???,177,53,R,60,Simple O1,Simple,FALSE
Japanese,19,4,?,248,53,R,60,Simple O1,Simple,FALSE
Japanese,19,5,TF,395,53,R,60,Simple O1,Simple,FALSE
Japanese,20,1,???,986,53,R,40,Simple O1,Simple,FALSE
Japanese,20,2,???,318,53,R,40,Simple O1,Simple,FALSE
Japanese,20,3,???,337,53,R,40,Simple O1,Simple,FALSE
Japanese,20,4,?,408,53,R,40,Simple O1,Simple,FALSE
Japanese,20,5,TF,666,53,R,40,Simple O1,Simple,FALSE
Japanese,21,1,???,459,53,R,51,Simple O1,Simple,FALSE
Japanese,21,2,???,488,53,R,51,Simple O1,Simple,FALSE
Japanese,21,3,???,359,53,R,51,Simple O1,Simple,FALSE
Japanese,21,4,?,359,53,R,51,Simple O1,Simple,FALSE
Japanese,21,5,TF,578,53,R,51,Simple O1,Simple,FALSE
Japanese,11,1,???,482,53,R,49,Simple O1,Simple,FALSE
Japanese,11,2,???,326,53,R,49,Simple O1,Simple,FALSE
Japanese,11,3,???,394,53,R,49,Simple O1,Simple,FALSE
Japanese,11,4,?,574,53,R,49,Simple O1,Simple,FALSE
Japanese,11,5,TF,1247,53,R,49,Simple O1,Simple,FALSE
Japanese,12,1,???,515,53,R,51,Simple O1,Simple,FALSE
Japanese,12,2,???,799,53,R,51,Simple O1,Simple,FALSE
Japanese,12,3,???,266,53,R,51,Simple O1,Simple,FALSE
Japanese,12,4,?,266,53,R,51,Simple O1,Simple,FALSE
Japanese,12,5,TF,1029,53,R,51,Simple O1,Simple,FALSE
Japanese,13,1,???,345,53,R,46,Simple O1,Simple,FALSE
Japanese,13,2,???,346,53,R,46,Simple O1,Simple,FALSE
Japanese,13,3,???,356,53,R,46,Simple O1,Simple,FALSE
Japanese,13,4,?,377,53,R,46,Simple O1,Simple,FALSE
Japanese,13,5,TF,304,53,R,46,Simple O1,Simple,FALSE
Japanese,14,1,???,524,53,R,52,Simple O1,Simple,FALSE
Japanese,14,2,???,685,53,R,52,Simple O1,Simple,FALSE
Japanese,14,3,???,307,53,R,52,Simple O1,Simple,FALSE
Japanese,14,4,?,765,53,R,52,Simple O1,Simple,FALSE
Japanese,14,5,TF,1341,53,R,52,Simple O1,Simple,FALSE
Japanese,15,1,???,586,53,R,9,Simple O1,Simple,FALSE
Japanese,15,2,???,867,53,R,9,Simple O1,Simple,FALSE
Japanese,15,3,???,828,53,R,9,Simple O1,Simple,FALSE
Japanese,15,4,?,388,53,R,9,Simple O1,Simple,FALSE
Japanese,15,5,TF,1625,53,R,9,Simple O1,Simple,FALSE
Japanese,16,1,???,403,53,R,54,Simple O1,Simple,FALSE
Japanese,16,2,???,385,53,R,54,Simple O1,Simple,FALSE
Japanese,16,3,???,365,53,R,54,Simple O1,Simple,FALSE
Japanese,16,4,?,345,53,R,54,Simple O1,Simple,FALSE
Japanese,16,5,TF,879,53,R,54,Simple O1,Simple,FALSE
Japanese,1,1,???,374,55,R,53,Simple O2,Simple,TRUE
Japanese,1,2,?????,419,55,R,53,Simple O2,Simple,TRUE
Japanese,1,3,???,438,55,R,53,Simple O2,Simple,TRUE
Japanese,1,4,?,449,55,R,53,Simple O2,Simple,TRUE
Japanese,1,5,TF,864,55,R,53,Simple O2,Simple,TRUE
Japanese,2,1,???,368,55,R,60,Simple O2,Simple,TRUE
Japanese,2,2,?????,317,55,R,60,Simple O2,Simple,TRUE
Japanese,2,3,???,659,55,R,60,Simple O2,Simple,TRUE
Japanese,2,4,?,158,55,R,60,Simple O2,Simple,TRUE
Japanese,2,5,TF,1161,55,R,60,Simple O2,Simple,TRUE
Japanese,3,1,???,562,55,R,8,Simple O2,Simple,TRUE
Japanese,3,2,?????,435,55,R,8,Simple O2,Simple,TRUE
Japanese,3,3,???,365,55,R,8,Simple O2,Simple,TRUE
Japanese,3,4,?,425,55,R,8,Simple O2,Simple,TRUE
Japanese,3,5,TF,1755,55,R,8,Simple O2,Simple,TRUE
Japanese,4,1,???,472,55,R,23,Simple O2,Simple,TRUE
Japanese,4,2,?????,484,55,R,23,Simple O2,Simple,TRUE
Japanese,4,3,???,494,55,R,23,Simple O2,Simple,TRUE
Japanese,4,4,?,415,55,R,23,Simple O2,Simple,TRUE
Japanese,4,5,TF,1207,55,R,23,Simple O2,Simple,TRUE
Japanese,5,1,???,393,55,R,51,Simple O2,Simple,TRUE
Japanese,5,2,?????,504,55,R,51,Simple O2,Simple,TRUE
Japanese,5,3,???,684,55,R,51,Simple O2,Simple,TRUE
Japanese,5,4,?,256,55,R,51,Simple O2,Simple,TRUE
Japanese,5,5,TF,732,55,R,51,Simple O2,Simple,TRUE
Japanese,6,1,???,456,55,R,24,Simple O2,Simple,TRUE
Japanese,6,2,?????,537,55,R,24,Simple O2,Simple,TRUE
Japanese,6,3,???,497,55,R,24,Simple O2,Simple,TRUE
Japanese,6,4,?,597,55,R,24,Simple O2,Simple,TRUE
Japanese,6,5,TF,1064,55,R,24,Simple O2,Simple,TRUE
Japanese,7,1,???,454,55,R,10,Simple O2,Simple,TRUE
Japanese,7,2,?????,416,55,R,10,Simple O2,Simple,TRUE
Japanese,7,3,???,525,55,R,10,Simple O2,Simple,TRUE
Japanese,7,4,?,426,55,R,10,Simple O2,Simple,TRUE
Japanese,7,5,TF,872,55,R,10,Simple O2,Simple,TRUE
Japanese,8,1,???,515,55,R,44,Simple O2,Simple,TRUE
Japanese,8,2,?????,476,55,R,44,Simple O2,Simple,TRUE
Japanese,8,3,???,367,55,R,44,Simple O2,Simple,TRUE
Japanese,8,4,?,218,55,R,44,Simple O2,Simple,TRUE
Japanese,8,5,TF,1793,55,R,44,Simple O2,Simple,TRUE
Japanese,9,1,???,447,55,R,30,Simple O2,Simple,TRUE
Japanese,9,2,?????,579,55,R,30,Simple O2,Simple,TRUE
Japanese,9,3,???,378,55,R,30,Simple O2,Simple,TRUE
Japanese,9,4,?,388,55,R,30,Simple O2,Simple,TRUE
Japanese,9,5,TF,517,55,R,30,Simple O2,Simple,TRUE
Japanese,10,1,???,404,55,R,57,Simple O2,Simple,TRUE
Japanese,10,2,?????,306,55,R,57,Simple O2,Simple,TRUE
Japanese,10,3,???,445,55,R,57,Simple O2,Simple,TRUE
